id;url;shortname;name;description;rating;idcategory;idcolor;size;idmaterial;weight;qtypics;picssize;idapplicmethod;allcategories;dealerprice;price;comments
8096;https://www.oasiscatalog.com/item/1-000003472;Фонарик Lyra;Фонарик Lyra с карабином, синий;Компактный карманный фонарик с прочным карабином для крепления в сумке или на ремне. Алюминиевый корпус, возможно нанесение оригинальной гравировки или тампопечати. Поворотный механизм для создания направленного освещения.;5;2930;1;d1 х 6;1;;;;1;['2891', '2892', '2930'];101.5;145.0;
8097;https://www.oasiscatalog.com/item/1-000003476;Брелок-фонарик Lobster;Брелок-фонарик Lobster с функцией открывалки, черный;Брелок-фонарик с функцией открывалки – функциональный промо-сувенир, идеально подходит для продвижения туристического бренда. На металлический корпус можно сделать нанесение гравировки или тампопечати.;0;2930;2;d2,3 х 6,3;2;;;;2;['2891', '2892', '2930', '2953', '2972', '2974', '3238', '3239'];149.1;213.0;
8098;https://www.oasiscatalog.com/item/1-000003477;Брелок-фонарик Lobster;Брелок-фонарик Lobster с функцией открывалки, синий;Брелок-фонарик с функцией открывалки – функциональный промо-сувенир, идеально подходит для продвижения туристического бренда. На металлический корпус можно сделать нанесение гравировки или тампопечати.;0;2930;3;d2,3 х 6,3;2;;;;2;['2891', '2892', '2930', '2953', '2972', '2974', '3238', '3239'];149.1;213.0;
8099;https://www.oasiscatalog.com/item/1-000003478;Брелок-фонарик Lobster;Брелок-фонарик Lobster с функцией открывалки, красный;Брелок-фонарик с функцией открывалки – функциональный промо-сувенир, идеально подходит для продвижения туристического бренда. На металлический корпус можно сделать нанесение гравировки или тампопечати.;5;2930;4;d2,3 х 6,3;2;;;;2;['2891', '2892', '2930', '2953', '2972', '2974', '3238', '3239'];149.1;213.0;
8100;https://www.oasiscatalog.com/item/1-000003479;Брелок-фонарик Lobster;Брелок-фонарик Lobster с функцией открывалки, серебристый;Брелок-фонарик с функцией открывалки – функциональный промо-сувенир, идеально подходит для продвижения туристического бренда. На металлический корпус можно сделать нанесение гравировки или тампопечати.;0;2930;5;d2,3 х 6,3;2;;;;2;['2891', '2892', '2930', '2953', '2972', '2974', '3238', '3239'];149.1;213.0;
8101;https://www.oasiscatalog.com/item/1-000003480;Рулетка складная Tape, 0,5м;Рулетка складная на 0,5 м. с брелоком;Функциональный брелок Tape: рулетка на 0,5 метра и кольцо для ключей. На мерную ленту нанесены измерения в сантиметрах и дюймах. Выполнена из пластика, компактно складывается.;5;3184;6;6,8 х 0,8 х 2,5;3;;;;1;['2891', '3180', '3181', '3184'];107.1;153.0;
8102;https://www.oasiscatalog.com/item/1-000003481;Складная линейка, 2м;Складная линейка длиной 2м, белый;Складная линейка длиной 2 м. Двусторонняя линейка со шкалой на 200 см с одной стороны и 79 дюймов с другой. Линейка состоит из нескольких складных частей. АБС-пластик. На боковую часть можно нанести логотип компании.;2;3053;6;23,3 х 1 х 2,8;3;;;;1;['2891', '3021', '3051', '3053', '3180', '3181', '3184'];179.9;257.0;
8103;https://www.oasiscatalog.com/item/1-000025933;Складная линейка, 2м;Складная линейка длиной 2 м, желтый;Складная линейка длиной 2 м. Двусторонняя линейка со шкалой на 200 см с одной стороны и 79 дюймов с другой. Линейка состоит из нескольких складных частей. АБС-пластик.;5;3053;7;23,3 х 1 х 2,8;3;;;;1;['2891', '3021', '3051', '3053', '3180', '3181', '3184'];179.2;256.0;
8104;https://www.oasiscatalog.com/item/1-000025934;Складная линейка, 2м;Складная линейка длиной 2 м, красный;Складная линейка длиной 2 м. Двусторонняя линейка со шкалой на 200 см с одной стороны и 79 дюймов с другой. Линейка состоит из нескольких складных частей. АБС-пластик.;5;3053;8;23,3 х 1 х 2,8;3;;;;1;['2891', '3021', '3051', '3053', '3180', '3181', '3184'];179.2;256.0;
8105;https://www.oasiscatalog.com/item/1-000025935;Складная линейка, 2м;Складная линейка длиной 2 м, ярко-синий;Складная линейка длиной 2 м. Двусторонняя линейка со шкалой на 200 см с одной стороны и 79 дюймов с другой. Линейка состоит из нескольких складных частей. АБС-пластик.;5;3053;9;23,3 х 1 х 2,8;3;;;;1;['2891', '3021', '3051', '3053', '3180', '3181', '3184'];179.2;256.0;
8106;https://www.oasiscatalog.com/item/1-000025936;Складная линейка, 2м;Складная линейка длиной 2 м, черный;Складная линейка длиной 2 м. Двусторонняя линейка со шкалой на 200 см с одной стороны и 79 дюймов с другой. Линейка состоит из нескольких складных частей. АБС-пластик.;5;3053;10;23,3 х 1 х 2,8;3;;;;1;['2891', '3021', '3051', '3053', '3180', '3181', '3184'];179.2;256.0;
8107;https://www.oasiscatalog.com/item/1-000003482;Фонарь Lighthouse;Фонарь Lighthouse;Фонарик в форме маяка 1 Вт. Фонарик в форме маяка с алюминиевым корпусом с красными силиконовыми кольцами производит сильное впечатление. Фонарик 1 Вт со встроенной функцией направленного и рассеянного света. Он может служить в качестве фонаря для освещения максимальной площади. Металлический крюк позволяет подвешивать фонарик в разных положениях. Предлагается в подарочной коробке 707. Батарейки включены в комплект и вставлены. Эксклюзивный дизайн. Алюминий, металл и силикон.;5;2930;11;d3,7 х 10,2;4;125.0;;;3;['2891', '2892', '2930'];753.2;1076.0;
8108;https://www.oasiscatalog.com/item/1-000003484;Нож карманный Pinto;Нож карманный Pinto 3в1, синий классический;Карманный нож Pinto – отличный подарок для активного мужчины. Это 3 в 1: мини-фонарик, нож и открывалка. На пластиковый корпус возможно нанесение персонализации.;5;2991;12;7,6 х 3,5 х 0,8;5;;;;1;['2891', '2953', '2989', '2991', '3275'];253.4;362.0;
8111;https://www.oasiscatalog.com/item/1-000003490;Адаптер автомобильный Pole;Адаптер автомобильный Pole, кл. синий;Автомобильный адаптер для USB с двумя слотами – вещь, которую оценит любой автомобилист. Позволяет заряжать от прикуривателя сразу два устройства. Богатый выбор цветов. На пластиковый корпус возможно нанесение оригинального дизайна: изображения или логотипа.;0;3159;12;8,3 х 2,6 х 3,7;3;40.0;;;1;['2891', '3140', '3158', '3159', '3257', '3258', '3263'];188.3;269.0;
8112;https://www.oasiscatalog.com/item/1-000003491;Адаптер автомобильный Pole;Адаптер автомобильный Pole, красный;Автомобильный адаптер для USB с двумя слотами – вещь, которую оценит любой автомобилист. Позволяет заряжать от прикуривателя сразу два устройства. Богатый выбор цветов. На пластиковый корпус возможно нанесение оригинального дизайна: изображения или логотипа.;0;3159;8;8,3 х 2,6 х 3,7;3;40.0;;;1;['2891', '3140', '3158', '3159', '3257', '3258', '3263'];188.3;269.0;
8113;https://www.oasiscatalog.com/item/1-000003492;Адаптер автомобильный Pole;Адаптер автомобильный Pole, белый;Автомобильный адаптер для USB с двумя слотами – вещь, которую оценит любой автомобилист. Позволяет заряжать от прикуривателя сразу два устройства. Богатый выбор цветов. На пластиковый корпус возможно нанесение оригинального дизайна: изображения или логотипа.;2;3159;6;8,3 х 2,6 х 3,7;3;40.0;;;1;['2891', '3140', '3158', '3159', '3257', '3258', '3263'];160.3;229.0;
8114;https://www.oasiscatalog.com/item/1-000003493;Адаптер автомобильный Pole;Адаптер автомобильный Pole, лайм;Автомобильный адаптер для USB с двумя слотами – вещь, которую оценит любой автомобилист. Позволяет заряжать от прикуривателя сразу два устройства. Богатый выбор цветов. На пластиковый корпус возможно нанесение оригинального дизайна: изображения или логотипа.;0;3159;13;8,3 х 2,6 х 3,7;3;40.0;;;1;['2891', '3140', '3158', '3159', '3257', '3258', '3263'];188.3;269.0;
8115;https://www.oasiscatalog.com/item/1-000003494;Манометр-фонарик Handi;Манометр-фонарик Handi, черный;Чрезвычайно полезный прибор поможет своевременно сориентироваться на трассе. При помощи манометра вы легко измерите давление в шинах автомобиля даже в ночное время, ведь прибор оснащен ярким фонариком.;5;2930;10;8,7 х 2,1 х 3,5;6;;;;1;['2891', '2892', '2930', '3257', '3258', '3269'];137.2;196.0;
8116;https://www.oasiscatalog.com/item/1-000003495;Манометр-фонарик Handi;Манометр-фонарик Handi, белый;Чрезвычайно полезный прибор поможет своевременно сориентироваться на трассе. При помощи манометра вы легко измерите давление в шинах автомобиля даже в ночное время, ведь прибор оснащен ярким фонариком.;5;2930;6;8,7 х 2,1 х 3,5;6;;;;1;['2891', '2892', '2930', '3257', '3258', '3269'];137.2;196.0;
8117;https://www.oasiscatalog.com/item/1-000003496;Брелок-фонарик Bullet;Брелок-фонарик Bullet, черный;Эргономичный корпус небольшого фонарика Bullet удобно лежит в руке. Брелок-фонарик прекрасно подходит для точечной подсветки в темное время суток. Большой выбор цветов. На пластиковый корпус возможно нанесение тампопечати.;5;2930;2;d2 х 7,1;6;;;;1;['2891', '2892', '2930', '3238', '3239'];53.2;76.0;
8118;https://www.oasiscatalog.com/item/1-000003497;Брелок-фонарик Bullet;Брелок-фонарик Bullet, синий прозрачный;Эргономичный корпус небольшого фонарика Bullet удобно лежит в руке. Брелок-фонарик прекрасно подходит для точечной подсветки в темное время суток. Большой выбор цветов. На пластиковый корпус возможно нанесение тампопечати.;5;2930;14;d2 х 7,1;6;;;;1;['2891', '2892', '2930', '3238', '3239'];53.2;76.0;
8119;https://www.oasiscatalog.com/item/1-000003498;Брелок-фонарик Bullet;Брелок-фонарик Bullet, красный прозрачный;Эргономичный корпус небольшого фонарика Bullet удобно лежит в руке. Брелок-фонарик прекрасно подходит для точечной подсветки в темное время суток. Большой выбор цветов. На пластиковый корпус возможно нанесение тампопечати.;5;2930;15;d2 х 7,1;6;;;;1;['2891', '2892', '2930', '3238', '3239'];53.2;76.0;
8120;https://www.oasiscatalog.com/item/1-000003499;Брелок-фонарик Bullet;Брелок-фонарик Bullet, белый;Эргономичный корпус небольшого фонарика Bullet удобно лежит в руке. Брелок-фонарик прекрасно подходит для точечной подсветки в темное время суток. Большой выбор цветов. На пластиковый корпус возможно нанесение тампопечати.;5;2930;16;d2 х 7,1;6;;;;1;['2891', '2892', '2930', '3238', '3239'];53.2;76.0;
8121;https://www.oasiscatalog.com/item/1-000003500;Брелок-фонарик Bullet;Брелок-фонарик Bullet, серебристый;Эргономичный корпус небольшого фонарика Bullet удобно лежит в руке. Брелок-фонарик прекрасно подходит для точечной подсветки в темное время суток. Большой выбор цветов. На пластиковый корпус возможно нанесение тампопечати.;5;2930;5;d2 х 7,1;6;;;;1;['2891', '2892', '2930', '3238', '3239'];53.2;76.0;
8122;https://www.oasiscatalog.com/item/1-000007127;Фонарик Radar;Фонарик с брелоком Radar 0,5 Вт, голубой;Фонарик с брелоком Radar 0,5 Вт. Яркая белая лампочка 0,5 Вт. Встроенная ручка сзади для включения и выключения фонарика. Предлагается в подарочной коробке Marksman. В комплект включены вставленные 4 плоские батарейки LR44 Panasonic. Эксклюзивный дизайн. Алюминий и АБС.;0;2930;17;d1 х 6,8;7;51.0;;;3;['2891', '2892', '2930', '3238', '3239'];266.0;380.0;
8123;https://www.oasiscatalog.com/item/1-000003503;Брелок- инструмент Halo;Брелок- инструмент Halo, черный;Брелок Halo – выбор энергичных людей, он может послужить отличным промо-сувениром для магазина стройматериалов, бытовых инструментов или автомобильных запчастей, а также подарком для водителя или мужчины, который любит работать руками. Упакован в непромокаемый мягкий чехол.  Под небольшим корпусом из нержавеющей стали собрано 12 полезных инструментов: Рычаг, Гвоздодер, Дырокол, Отвертка для болта 4,5 мм, Отвертка для болта 6 мм, Открывалка, Гаечный ключ 6 мм, Гаечный ключ 8 мм, Гаечный ключ 10 мм, Гаечный ключ 13 мм, Линейка в см (обратная сторона), Линейка в дюймах (обратная сторона).;3;3239;10;3,3 х 8 х 0,4;8;59.0;;;1;['2891', '3238', '3239'];530.6;758.0;
8124;https://www.oasiscatalog.com/item/1-000003505;Фонарик Flow с карабином;Фонарик Flow с карабином, зеленый;Фонарик Flow с 5 светодиодами и карабином. Это бутылка? Нет, это фонарик! Фонарик с 5 светодиодами, алюминиевым глянцевым корпусом с матовыми белыми вставками из АБС и карабином. Фонарик Flow включается и выключается с помощью кнопки. Предлагается в подарочной коробке Avenue. Батарейки включены в комплект и вставлены. Эксклюзивный дизайн. Алюминий и АБС.;0;2930;18;d3,4 х 11,5;7;120.0;;;3;['2891', '2892', '2930'];375.2;536.0;
8125;https://www.oasiscatalog.com/item/1-000003510;Набор подарочный Orion;Набор подарочный Orion: нож и фонарик;Подарочный набор Orion отлично подойдет активным людям, которые любят путешествовать на автомобиле или ходить в походы. В набор входят нож из нержавеющей стали и мощный фонарик. Набор упакован в красивую подарочную коробку.;2;2991;10;16,5 х 11,5 х 4,5;9;333.0;;;4;['2891', '2953', '2989', '2991', '3208', '3215'];1946.7;2781.0;
8126;https://www.oasiscatalog.com/item/1-000003511;Набор подарочный Apollo;Набор подарочный Apollo: многофункциональный инструмент и фонарик;Набор Apollo - отличный подарок для мужчины. Стильный дизайн создает ощущение уверенности и силы. В набор входят фонарик и нож-мультиинструмент. Набор упакован в красивую подарочную коробку.;0;3182;10;10 х 8,6 х 2,3;9;121.0;;;5;['2891', '3180', '3181', '3182', '3208', '3215'];906.5;1295.0;
8127;https://www.oasiscatalog.com/item/1-000003527;Ручка пластиковая шариковая Vancouver;Ручка шариковая Vancouver, синий, черные чернила;Стильная шариковая ручка с широким клипом. В наличии различные расцветки. На пластиковый корпус или на клип возможно нанесение тампопечати. Хороший промо-сувенир для презентации.;5;3059;19;d1,1 х 14,2;10;;;;1;['2891', '3058', '3059', '4047', '4053'];28.7;41.0;
8128;https://www.oasiscatalog.com/item/1-000003528;Ручка пластиковая шариковая Vancouver;Ручка шариковая Vancouver, белый, черные чернила;Стильная шариковая ручка с широким клипом. В наличии различные расцветки. На пластиковый корпус или на клип возможно нанесение тампопечати. Хороший промо-сувенир для презентации.;5;3059;20;d1,1 х 14,2;10;;;;1;['2891', '3058', '3059', '4047', '4053'];28.7;41.0;
8135;https://www.oasiscatalog.com/item/1-000003531;Футляр для ручки Tube;Футляр для ручки Tube, белый прозрачный;Замечательный пластиковый футляр для ручки послужит не только надежной защитой, но и прекрасным оформлением подарка. На белоснежную поверхность можно нанести яркий логотип.;5;3064;20;14,8 х 3;6;;;;1;['2891', '3058', '3064', '3517', '3521', '3523', '3530'];26.6;38.0;
8136;https://www.oasiscatalog.com/item/1-000003532;Футляр для ручки Гап;Футляр для ручки Гап, белый;Легкий способ красиво оформить ручку в качестве подарка – упаковать ее в футляр-коробку белоснежного цвета. На коробку можно нанести поздравительную надпись или символику предприятия.;0;3064;6;16,5 х 2,5 х 1,5;11;;;;5;['2891', '3058', '3064', '3517', '3521', '3523', '3525'];10.5;15.0;
8137;https://www.oasiscatalog.com/item/00000039753;Ручка пластиковая шариковая Moville;Ручка шариковая Moville, красный, черные чернила;Стильная шариковая ручка с клипом цвета металлик. Различные расцветки корпуса. Хорошо подойдет в качестве имиджевого промо-сувенира на любой презентации, особенно если сделать нанесение на корпус логотипа вашей фирмы.;0;3059;8;d1 х 13,5;12;;;;1;['2891', '3058', '3059'];50.4;72.0;
8138;https://www.oasiscatalog.com/item/00000039755;Ручка пластиковая шариковая Moville;Ручка шариковая Moville, синий, черные чернила;Стильная шариковая ручка с клипом цвета металлик. Различные расцветки корпуса. Хорошо подойдет в качестве имиджевого промо-сувенира на любой презентации, особенно если сделать нанесение на корпус логотипа вашей фирмы.;5;3059;1;d1 х 13,5;12;;;;1;['2891', '3058', '3059'];54.6;78.0;
8139;https://www.oasiscatalog.com/item/1-000003536;Ручка пластиковая шариковая Moville;Ручка шариковая Moville, черный, черные чернила;Стильная шариковая ручка с клипом цвета металлик. Различные расцветки корпуса. Хорошо подойдет в качестве имиджевого промо-сувенира на любой презентации, особенно если сделать нанесение на корпус логотипа вашей фирмы.;5;3059;10;d1 х 13,5;12;;;;1;['2891', '3058', '3059'];54.6;78.0;
8140;https://www.oasiscatalog.com/item/1-000003537;Ручка пластиковая шариковая Moville;Ручка шариковая Moville, серебристый, черные чернила;Стильная шариковая ручка с клипом цвета металлик. Различные расцветки корпуса. Хорошо подойдет в качестве имиджевого промо-сувенира на любой презентации, особенно если сделать нанесение на корпус логотипа вашей фирмы.;5;3059;5;d1 х 13,5;12;;;;1;['2891', '3058', '3059'];54.6;78.0;
8141;https://www.oasiscatalog.com/item/1-000003543;Ручка-стилус шариковая Mandarine;Ручка-стилус шариковая Mandarine, серебристый, черные чернила;Стильная шариковая ручка в металлическом корпусе также может выполнять роль стилуса для устройств с сенсорными экранами. Замечательно подойдет в качестве подарка коллегам.;5;2907;21;d1,2 х 13,6;2;;;;1;['2891', '2892', '2900', '2907', '3058', '3060', '3063'];152.6;218.0;
8142;https://www.oasiscatalog.com/item/1-000003544;Ручка-стилус шариковая Mandarine;Ручка-стилус шариковая Mandarine, черный, черные чернила;Стильная шариковая ручка в металлическом корпусе также может выполнять роль стилуса для устройств с сенсорными экранами. Замечательно подойдет в качестве подарка коллегам.;5;2907;2;d1,2 х 13,6;2;;;;1;['2891', '2892', '2900', '2907', '3058', '3060', '3063'];152.6;218.0;
8143;https://www.oasiscatalog.com/item/1-000003545;Ручка-стилус шариковая Planet;Ручка-стилус шариковая Planet, бежевый/черный;Эффектная шариковая ручка-стилус с корпусом из уплотненного картона будет отличным подарком для современного человека. На корпус возможно нанесение логотипа вашей компании.;5;2907;22;d1 х 14,1;13;;;;1;['2891', '2892', '2900', '2907', '3058', '3063'];37.1;53.0;
8144;https://www.oasiscatalog.com/item/1-000003549;Ручка-стилус шариковая Planet;Ручка-стилус шариковая Planet, бежевый/лайм;Эффектная шариковая ручка-стилус с корпусом из уплотненного картона будет отличным подарком для современного человека. На корпус возможно нанесение логотипа вашей компании.;5;2907;23;d1 х 14,1;13;;;;1;['2891', '2892', '2900', '2907', '3058', '3063'];37.1;53.0;
8145;https://www.oasiscatalog.com/item/1-000003550;Ручка-стилус шариковая Burnie;Ручка-стилус шариковая Burnie, белый;Функциональная шариковая-ручка стилус порадует человека, который идет в ногу со временем. С одного конца это трехцветная шариковая ручка с нажимным механизмом, с другого – универсальный стилус для современных медиаустройств.;5;2907;21;d1 х 14,3;6;;;;1;['2891', '2892', '2900', '2907', '3058', '3063'];58.1;83.0;
